jogo,grupo,time_a,time_b,data_hora
1,A,México,África do Sul,2026-06-11 15:00
2,A,Coreia do Sul,República Tcheca,2026-06-12 22:00
3,B,Canadá,Bósnia e Herzegovina,2026-06-12 15:00
4,D,Estados Unidos,Paraguai,2026-06-12 21:00
5,C,Haiti,Escócia,2026-06-13 21:00
6,D,Austrália,Turquia,2026-06-13 00:00
7,C,Brasil,Marrocos,2026-06-13 18:00
8,B,Qatar,Suíça,2026-06-13 15:00
9,E,Costa do Marfim,Equador,2026-06-14 19:00
10,E,Alemanha,Curaçao,2026-06-14 13:00
11,F,Holanda,Japão,2026-06-14 16:00
12,F,Suécia,Tunísia,2026-06-14 22:00
13,H,Arábia Saudita,Uruguai,2026-06-15 18:00
14,H,Espanha,Cabo Verde,2026-06-15 12:00
15,G,Irã,Nova Zelândia,2026-06-15 21:00
16,G,Bélgica,Egito,2026-06-15 15:00
17,I,França,Senegal,2026-06-16 15:00
18,I,Noruega,Iraque,2026-06-16 18:00
19,J,Argentina,Argélia,2026-06-16 21:00
20,J,Áustria,Jordânia,2026-06-16 00:00
21,L,Gana,Panamá,2026-06-17 19:00
22,L,Inglaterra,Croácia,2026-06-17 16:00
23,K,Portugal,RD Congo,2026-06-17 13:00
24,K,Uzbequistão,Colômbia,2026-06-17 22:00
25,A,República Tcheca,África do Sul,2026-06-18 12:00
26,B,Suíça,Bósnia e Herzegovina,2026-06-18 15:00
27,B,Canadá,Qatar,2026-06-18 18:00
28,A,México,Coreia do Sul,2026-06-18 21:00
29,C,Brasil,Haiti,2026-06-19 20:30
30,C,Escócia,Marrocos,2026-06-19 18:00
31,D,Turquia,Paraguai,2026-06-19 23:00
32,D,Estados Unidos,Austrália,2026-06-19 15:00
33,E,Alemanha,Costa do Marfim,2026-06-20 16:00
34,E,Equador,Curaçao,2026-06-20 20:00
35,F,Holanda,Suécia,2026-06-20 13:00
36,F,Tunísia,Japão,2026-06-20 00:00
37,H,Uruguai,Cabo Verde,2026-06-21 18:00
38,H,Espanha,Arábia Saudita,2026-06-21 12:00
39,G,Bélgica,Irã,2026-06-21 15:00
40,G,Nova Zelândia,Egito,2026-06-21 21:00
41,I,Noruega,Senegal,2026-06-22 20:00
42,I,França,Iraque,2026-06-22 17:00
43,J,Argentina,Áustria,2026-06-22 13:00
44,J,Jordânia,Argélia,2026-06-22 23:00
45,L,Inglaterra,Gana,2026-06-23 16:00
46,L,Panamá,Croácia,2026-06-23 19:00
47,K,Portugal,Uzbequistão,2026-06-23 13:00
48,K,Colômbia,RD Congo,2026-06-23 22:00
49,C,Escócia,Brasil,2026-06-24 18:00
50,C,Marrocos,Haiti,2026-06-24 18:00
51,B,Suíça,Canadá,2026-06-24 15:00
52,B,Bósnia e Herzegovina,Qatar,2026-06-24 15:00
53,A,República Tcheca,México,2026-06-24 21:00
54,A,África do Sul,Coreia do Sul,2026-06-24 21:00
55,E,Curaçao,Costa do Marfim,2026-06-25 16:00
56,E,Equador,Alemanha,2026-06-25 16:00
57,F,Japão,Suécia,2026-06-25 19:00
58,F,Tunísia,Holanda,2026-06-25 19:00
59,D,Turquia,Estados Unidos,2026-06-25 22:00
60,D,Paraguai,Austrália,2026-06-25 22:00
61,I,Noruega,França,2026-06-26 15:00
62,I,Senegal,Iraque,2026-06-26 15:00
63,G,Egito,Irã,2026-06-26 23:00
64,G,Nova Zelândia,Bélgica,2026-06-26 23:00
65,H,Cabo Verde,Arábia Saudita,2026-06-26 20:00
66,H,Uruguai,Espanha,2026-06-26 20:00
67,L,Panamá,Inglaterra,2026-06-27 17:00
68,L,Croácia,Gana,2026-06-27 17:00
69,J,Argélia,Áustria,2026-06-27 22:00
70,J,Jordânia,Argentina,2026-06-27 22:00
71,K,Colômbia,Portugal,2026-06-27 19:30
72,K,RD Congo,Uzbequistão,2026-06-27 19:30
